freq[Hz];db:Mem2[Trc1]_S21;db:Mem3[Trc1]_S21;db:Mem4[Trc1]_S21;db:Mem5[Trc1]_S21;db:Mem6[Trc1]_S21;db:Mem7[Trc1]_S21;db:Mem8[Trc1]_S21;db:Mem9[Trc1]_S21;db:Mem10[Trc1]_S21;db:Mem11[Trc1]_S21;db:Mem12[Trc1]_S21;db:Mem13[Trc1]_S21;db:Mem14[Trc1]_S21;db:Mem15[Trc1]_S21;db:Mem16[Trc1]_S21;db:Mem17[Trc1]_S21;db:Mem18[Trc1]_S21;db:Mem19[Trc1]_S21;db:Mem20[Trc1]_S21;db:Mem21[Trc1]_S21;db:Mem22[Trc1]_S21;db:Mem23[Trc1]_S21;db:Mem24[Trc1]_S21;db:Mem25[Trc1]_S21;db:Mem26[Trc1]_S21;db:Mem27[Trc1]_S21;db:Mem28[Trc1]_S21;db:Mem29[Trc1]_S21;db:Mem30[Trc1]_S21;db:Mem31[Trc1]_S21;db:Mem32[Trc1]_S21;db:Mem33[Trc1]_S21;db:Mem34[Trc1]_S21;db:Mem35[Trc1]_S21;db:Mem36[Trc1]_S21;db:Mem37[Trc1]_S21;max [dB]
30000000,0;-29,09700270414916;-28,08885061133901;-26,84702330519016;-25,64609992748736;-24,44387750932826;-23,31063771189995;-22,35371870080431;-21,42671150099314;-20,72518332886702;-20,25871287973098;-19,85961226039917;-19,78244666258039;-19,9174479165833;-20,17825958035991;-20,56544152484974;-21,18433734030664;-21,84935112683787;-22,54968631390886;-23,38040169423826;-23,94101808951055;-24,64546919273308;-25,15176800310601;-26,00598835366011;-26,49487383920188;-26,69656380548989;-26,84343425636381;-27,03370972752277;-27,29987000651051;-27,58845971234998;-27,71262745114888;-27,88957021296081;-28,01415692178402;-28,22081872453628;-28,39385229532441;-28,47687131942076;-28,82811979285488;-19,78244666258039
32000000,0;-27,9782642275973;-27,30516830821899;-26,03004133628904;-24,92256358976817;-23,96131187616487;-22,95547065152092;-21,99851525981143;-21,02112754385612;-20,39224365382815;-19,94358270474949;-19,63229204405426;-19,51263079756979;-19,57531496283817;-19,71139740944289;-20,12401036316592;-20,60142230597494;-21,14010722907853;-21,49965796114969;-22,25805110197076;-22,80120400718131;-23,27444448084477;-23,55886448440428;-24,41016809585083;-24,69178767055407;-24,88651277478453;-24,83991116200657;-25,18017676066175;-25,30048113883444;-25,8006577828294;-25,98448543171571;-25,90081633978964;-26,31256724253051;-26,25234062067049;-26,71529137901225;-26,34392180490305;-26,80532252395431;-19,51263079756979
34000000,0;-27,00347465587262;-26,28272327106125;-25,25583706345525;-24,27024243363659;-23,4578469229291;-22,54679205499761;-21,75434131416924;-20,90527479143247;-19,96128550968356;-19,67960105500772;-19,17888350962962;-19,11238377127888;-19,06612752105263;-19,25231644281028;-19,57378481733264;-19,86854610676129;-20,26650277771037;-20,6852346397446;-21,24061783513945;-21,51668266262138;-21,79443978537554;-22,0751524115276;-22,75849519944673;-23,14298074884711;-23,3253898253999;-23,45447016319597;-23,54783893790753;-23,70886173328046;-23,9704926540366;-24,08591692665329;-24,35799888432391;-24,55908791573935;-24,82522319487779;-25,070314440763;-25,2922278479404;-25,6024202235546;-19,06612752105263
36000000,0;-25,31595923885395;-24,57640707244349;-23,85406325334036;-23,20562426233353;-22,4194847308106;-21,60761034568782;-20,76276305582123;-20,01583430027721;-19,29481821282014;-19,01845266848289;-18,7304292471816;-18,43834873388023;-18,38681025168196;-18,70026752340382;-18,59260485606037;-19,09531434349884;-19,10398824039481;-19,60046071646613;-20,12478859647015;-20,29895883677524;-20,32981321654738;-20,6878985386081;-21,15217821073068;-21,6789686300933;-21,72485422804363;-21,76805512346369;-22,06175872921073;-22,3228642466557;-22,27031622817833;-22,72614865598241;-22,86930898099733;-23,63902809373177;-23,58942408344901;-23,60985220531588;-23,76059496730645;-24,37805882953856;-18,38681025168196
38000000,0;-23,88759531426077;-23,28532102454935;-22,6057952377725;-21,87058119715308;-21,24155011984289;-20,52613295348582;-19,99907949862197;-19,34284146466636;-18,8446741739482;-18,37975649056145;-17,97142270070105;-17,82673215583327;-17,85356083459282;-17,86422775467321;-17,93062799799509;-18,13791225852714;-18,39734387338409;-18,58812262965693;-18,86616846205796;-19,17055722869248;-19,51785005401896;-19,67956403395727;-19,96684045688014;-20,11714298724822;-20,42307494489965;-20,66246444498432;-20,80167263110998;-21,212348227508;-21,63737833976845;-21,557634169696;-21,85680082340625;-22,24032928207152;-22,36831934258209;-22,80773911417789;-23,06477549895384;-23,07374591436119;-17,82673215583327
40000000,0;-22,4367613736862;-21,92326510264931;-21,2340198458041;-20,70723134581164;-20,07807679573427;-19,54097579332878;-19,05477374772687;-18,46358063755688;-18,01893154240022;-17,54682185278494;-17,3887110638485;-17,26369405377409;-17,03937527844117;-17,1259293800596;-17,13531013401924;-17,27846411657751;-17,60445003562491;-17,79252006436622;-18,037714730593;-18,23778274678028;-18,43584008159265;-18,58204423973705;-19,05860922407978;-19,41944894371046;-19,37617289605794;-19,81710526293366;-20,23775909220327;-20,19414591123396;-20,46413081213147;-20,8514617566081;-21,11232795310286;-21,39395612716898;-21,62169021088665;-21,88862921297083;-22,21973092433122;-22,40022587009796;-17,03937527844117
42000000,0;-21,33152853186615;-20,72649220536604;-20,38045568933571;-19,70504201581803;-19,09363775011198;-18,59684166789376;-18,03837092542578;-17,75131617973226;-17,18658654182694;-16,97489845597534;-16,74613932923651;-16,64369904787306;-16,47550292710236;-16,46725655639226;-16,50626249488606;-16,66385515123708;-16,90517451617582;-17,11211755730461;-17,21903763222972;-17,50825541326696;-17,75073586260348;-17,88195758793894;-18,31150553079311;-18,50974211876646;-19,06884315768155;-19,14084054706922;-19,47758449398831;-19,78211284537948;-19,8929179039608;-20,04441295693915;-20,33826907761602;-20,97400129597354;-20,793041480052;-21,12656332096051;-21,76893223290845;-21,44233562015358;-16,46725655639226
44000000,0;-20,29787471903561;-19,82987547671123;-19,37969970673024;-18,75954388804323;-18,25261079726819;-17,79140920660902;-17,31154712443504;-16,91590095828465;-16,60322777880112;-16,33006155041328;-16,09046202708752;-15,90930435872298;-15,83273362646693;-15,7987293039703;-15,91099988616655;-16,08405473080342;-16,2522470544497;-16,38925251829876;-16,58006945782616;-16,79885728998517;-17,17912287407568;-17,30702118163008;-17,75400145042246;-18,02143194053878;-18,24789950906549;-18,5653317966763;-19,04972858515407;-19,21037408397703;-19,24609703918706;-19,84582579628194;-19,98530190282854;-20,35945921285541;-20,6357236905475;-20,78122807315349;-21,01757450160711;-21,27344380613487;-15,7987293039703
46000000,0;-19,90916450239834;-18,72335023171752;-18,44711970576828;-17,96693083549334;-17,89682804348295;-16,33251423395653;-17,26253157955603;-16,74114773696202;-15,8520647527907;-15,38720307039291;-14,9147434650712;-15,28468219253948;-15,55804151153481;-14,95239186042404;-15,30268420498546;-15,04141716799921;-15,89999765167919;-15,49767336963992;-16,04330349367892;-16,05476558681822;-16,73943647550552;-16,74341022378476;-17,06449844130383;-17,85000511889435;-17,95225067796551;-18,13129795732251;-18,40847872322734;-18,5792891953318;-19,15849568447477;-19,32537963126605;-19,46466975131603;-19,75359201948167;-20,15741006305374;-20,46612557297936;-20,56155108934928;-21,06387436888036;-14,9147434650712
48000000,0;-18,72208945236395;-18,20614508044163;-17,67338016863525;-17,21839007152809;-16,68658499562664;-16,29479805649918;-15,89837076437108;-15,55534401219548;-15,33657448462735;-15,03474000663091;-14,81776382205927;-14,75426033786058;-14,6976753447846;-14,72526410845663;-14,75223409823673;-14,93360558761918;-15,21373351685885;-15,33957155077818;-15,51984715842752;-15,8484371671428;-16,06564328399573;-16,33851465256938;-16,9090905867795;-17,20952280392127;-17,58355107839937;-17,88083721602285;-18,22411108544128;-18,45670766917325;-19,03107869582833;-19,16029873042559;-19,29389498575602;-19,70200887554614;-19,92111796550029;-20,21785695658031;-20,45769637797569;-20,66248075254658;-14,6976753447846
50000000,0;-17,86747651804924;-17,4715045655465;-16,99258945932703;-16,46157976980255;-16,04495119126145;-15,66483928428518;-15,29504360662151;-15,0322822270035;-14,80017053816241;-14,49078303073164;-14,47361746495054;-14,37942955292572;-14,38790824127807;-14,46101184521427;-14,51535586961198;-14,57272699528906;-14,80647462731896;-15,01499385557531;-15,22485022574613;-15,55387464516051;-15,80890908437259;-16,08784676258632;-16,71523020389154;-17,12251651077016;-17,42267745426442;-17,74610138490864;-18,15762250549917;-18,41076432432048;-18,70214939417908;-19,03664180477335;-19,38319009131058;-19,61895077862831;-19,863565679078;-20,3322088558564;-20,48561019615769;-20,68210995692119;-14,37942955292572
52000000,0;-17,14884374781014;-16,74430614297002;-16,28740076264474;-15,78225262482665;-15,49449878177396;-15,03131075287293;-14,69884048050166;-14,43167047188773;-14,28687248610652;-14,03926213748939;-13,96545216623224;-13,92302362607087;-13,9544327165577;-14,12645830162422;-14,2103465462954;-14,27121716436347;-14,47027734839159;-14,63683835872296;-14,9477190567982;-15,28041691304741;-15,54188013396092;-15,77687589529387;-16,52195013296854;-16,86613352681658;-17,18267504876525;-17,52934715261275;-17,96942980886188;-18,46728566776049;-18,73508402526349;-19,02652615668534;-19,16189721906539;-19,56336631443196;-20,06919927843738;-20,4321486799716;-20,66680374247852;-20,56303800253041;-13,92302362607087
54000000,0;-16,37059608989541;-15,94563440425376;-15,51384745512172;-15,06798773653255;-14,71202491808506;-14,3982365546279;-14,05991971917415;-13,86401517266832;-13,69813765155215;-13,50741303165867;-13,39637670787534;-13,41945399678087;-13,40713546902653;-13,49741619512503;-13,63742920171888;-13,82840688759078;-14,12060115012089;-14,34414273858191;-14,44755741619159;-14,98076667107767;-15,04868131495206;-15,55098413424409;-16,18476418937657;-16,43330952243671;-16,96118479120448;-17,42867253913395;-17,78710609742147;-17,94582663706177;-18,56006955212733;-18,758328691614;-19,18139395520892;-19,24359950942992;-19,91881052726739;-20,18430465819407;-20,81019282636967;-21,26825240900001;-13,39637670787534
56000000,0;-15,7409660661526;-15,23423992094782;-14,7846431252258;-14,36391269436246;-14,06964953441373;-13,67249411895578;-13,44789880706301;-13,27886960167122;-13,18537961510303;-13,05630970361656;-12,98622841874634;-13,03729789091489;-13,08347289414612;-13,17726255660367;-13,32722921043626;-13,54894457009778;-13,73247881104028;-14,00942870302647;-14,32047243846713;-14,66575787389878;-15,02871101974106;-15,30694645834882;-15,99756569135285;-16,40850774847139;-16,85178763600609;-17,2720658581188;-17,71416243353085;-17,90963620968906;-18,33776449121882;-18,75199225058185;-19,10265984110294;-19,56014100222305;-19,88371844908898;-20,2343850389118;-20,73096402092441;-20,84593458655483;-12,98622841874634
58000000,0;-15,05441494863063;-14,6430591154977;-14,26197865061527;-13,80900635737324;-13,58689286326418;-13,23296886211843;-13,04974232671235;-12,81591378669816;-12,7249018812466;-12,63190982506045;-12,61571911748722;-12,749042656046;-12,7956647503177;-12,95587007649223;-13,11674120380562;-13,33985853263504;-13,57275568273511;-13,80191550174332;-14,14311710456962;-14,60870078992189;-14,95590804083292;-15,2619877818151;-15,93079151198077;-16,30147347514743;-16,88874672654077;-17,27612544133133;-17,72894339411278;-18,04383610961324;-18,35400598159926;-18,79591662617941;-19,18244885631286;-19,59320005974479;-19,98000936726246;-20,27361870627622;-20,6647721935747;-20,9013292730349;-12,61571911748722
