f [Hz];U [dBuV]
0,009;105,468033
0,01;105,268222
0,02;103,196156
0,03;101,273123
0,04;99,583748
0,05;98,122205
0,06;97,249690
0,07;95,798016
0,08;94,693275
0,09;93,771345
0,1;93,599313
0,11;92,768053
0,12;92,204683
0,13;91,396227
0,14;90,771479
0,15;89,422440
0,2;87,966658
0,3;84,485233
0,4;81,773859
0,5;79,818617
0,6;78,260866
0,7;76,955214
0,8;75,854292
0,9;74,914162
1,0;74,057045
2,0;68,886211
3,0;66,894215
4,0;66,759663
5,0;68,839027
6,0;72,350288
7,0;77,977804
8,0;71,932068
9,0;67,956493
10,0;66,271729
11,0;65,803490
12,0;66,069752
13,0;66,859165
14,0;67,981411
15,0;69,648918
16,0;71,826195
17,0;71,733597
18,0;72,194881
19,0;70,772511
20,0;65,878361
21,0;62,201546
22,0;59,409233
23,0;57,307865
24,0;56,180668
25,0;54,842182
26,0;54,608292
27,0;58,097462
28,0;59,437836
29,0;60,266266
30,0;62,793896
