f [Hz];U [dBuV]
0,009;97,419595
0,01;97,216001
0,02;96,380423
0,03;95,892281
0,04;95,477549
0,05;95,010745
0,06;94,846633
0,07;94,056574
0,08;93,992417
0,09;93,139551
0,1;92,949930
0,11;92,339219
0,12;91,944001
0,13;92,118804
0,14;90,856071
0,15;89,930880
0,2;88,912903
0,3;85,600054
0,4;83,184666
0,5;81,444801
0,6;80,076963
0,7;78,991673
0,8;78,084257
0,9;77,402792
1,0;76,799160
2,0;75,774551
3,0;84,484797
4,0;77,349524
5,0;68,791843
6,0;64,010632
7,0;59,528843
8,0;62,763538
9,0;68,079548
10,0;66,316650
11,0;65,809719
12,0;66,045807
13,0;66,760025
14,0;67,907581
15,0;70,053844
16,0;73,860497
17,0;71,275192
18,0;61,980984
19,0;55,380085
20,0;47,907818
21,0;40,085098
22,0;33,116028
23,0;35,668877
24,0;41,074898
25,0;46,392712
26,0;50,962044
27,0;56,449371
28,0;61,446598
29,0;62,302105
30,0;63,443432
