f [Hz];U [dBuV]
0,009;70,671722
0,01;71,500652
0,02;76,395369
0,03;78,575113
0,04;79,692919
0,05;80,308714
0,06;80,655159
0,07;80,842085
0,08;80,925531
0,09;80,935316
0,1;80,897564
0,11;80,844086
0,12;80,761641
0,13;80,649147
0,14;80,508026
0,15;79,710266
0,2;79,572302
0,3;77,760525
0,4;76,170294
0,5;74,527790
0,6;72,990311
0,7;71,563168
0,8;70,218822
0,9;68,911701
1,0;67,611427
2,0;61,782322
3,0;66,696358
4,0;58,028015
5,0;47,246841
6,0;47,975277
7,0;49,854309
8,0;55,971218
9,0;59,517372
10,0;62,364189
11,0;64,800449
12,0;66,953430
13,0;68,848225
14,0;69,806572
15,0;65,838467
16,0;65,236252
17,0;66,235428
18,0;66,854061
19,0;67,432232
20,0;67,120823
21,0;65,292706
22,0;66,394829
23,0;67,394447
24,0;68,330509
25,0;69,391628
26,0;70,689632
27,0;72,124531
28,0;73,604092
29,0;75,067831
30,0;75,995901
