f [Hz]	U [V]
1e-05	116,86979822339444
2e-05	116,86896375579595
3e-05	116,86882272945809
4e-05	116,86761015372923
5e-05	116,86848810421873
6e-05	116,8670424405698
7e-05	116,86781603153555
8e-05	116,86587571345015
9e-05	116,8664524538506
0,0001	116,86721075166761
0,0002	116,86510508649967
0,0003	116,8648453054357
0,0004	116,86272745010618
0,0005	116,86153071874388
0,0006	116,85857831724536
0,0007	116,8574839866664
0,0008	116,85334161221363
0,0009	116,84945073142508
0,001	116,8448763088781
0,002	116,83535003936944
0,003	116,82158801997453
0,004	116,79986287483166
0,005	116,76964873161758
0,006	116,73097507319818
0,007	116,67968297827221
0,008	116,61451271796625
0,009	116,53248604873183
0,01	116,4279296620696
0,02	116,18870550811155
0,03	115,72637815454654
0,04	114,89087931233084
0,05	113,4197623048172
0,06	110,74843632003825
0,07	105,149117927851
0,08	86,05734999795874
0,09	107,80972190092518
0,1	113,33818201175154
0,2	116,84923055868275
0,3	112,56353260454503
0,4	113,96667938947655
0,5	111,15794453050248
0,6	116,92183557555312
0,7	115,61430198840627
0,8	114,10879401756202
0,9	115,06556526249618
1,0	112,14734003489959
2,0	114,11391635325697
3,0	112,73781203837144
4,0	113,7834255237599
5,0	113,54434351298818
6,0	113,38190859369885
7,0	113,99895820930966
8,0	113,78781879823035
9,0	113,89412616964404
10,0	113,97330765149539
20,0	113,91835982467498
30,0	113,91887003635914
40,0	113,91839225962212
50,0	113,9180346520696
60,0	113,91850359147122
70,0	113,91843429374794
80,0	113,91873879386586
90,0	113,91814747297855
100,0	113,91817253584557
200,0	113,91922097968285
300,0	113,91931387116124
400,0	113,91806194199837
500,0	113,91844903904345
600,0	113,91815927455475
700,0	113,91885014601263
800,0	113,91849696108108
900,0	113,91745211658574
1000,0	113,91739681525155
2000,0	113,91592188411863
3000,0	113,91477861792409
4000,0	113,91458904898366
5000,0	113,91297565208956
6000,0	113,90994060534565
7000,0	113,9050105449218
8000,0	113,90084756584838
9000,0	113,89998976895302
10000,0	113,90083353436104
