f [Hz]	U [V]
1e-05	0,460299283
2e-05	0,460340185
3e-05	0,460431016
4e-05	0,460379212
5e-05	0,460418209
6e-05	0,46046664
7e-05	0,460512872
8e-05	0,460561334
9e-05	0,460593587
0,0001	0,460674545
0,0002	0,460843447
0,0003	0,461008804
0,0004	0,461269082
0,0005	0,461636017
0,0006	0,462079747
0,0007	0,462538976
0,0008	0,463176485
0,0009	0,463704649
0,001	0,464347901
0,002	0,46568041
0,003	0,467530444
0,004	0,470039735
0,005	0,473020866
0,006	0,476419216
0,007	0,480010246
0,008	0,483895601
0,009	0,487672984
0,01	0,49137293
0,02	0,496611451
0,03	0,499994638
0,04	0,495700482
0,05	0,476287159
0,06	0,433052195
0,07	0,357414811
0,08	0,24379755
0,09	0,0849233247
0,1	0,0941639065
0,2	0,409574773
0,3	0,452386414
0,4	0,144979634
0,5	0,437829146
0,6	0,440486178
0,7	0,213354172
0,8	0,281028129
0,9	0,316494125
1,0	0,301228762
2,0	0,229321837
3,0	0,306360841
4,0	0,34592253
5,0	0,345751286
6,0	0,347120434
7,0	0,348314106
8,0	0,351281285
9,0	0,351474702
10,0	0,349493772
20,0	0,353479654
30,0	0,353452772
40,0	0,353436768
50,0	0,353442311
60,0	0,353444993
70,0	0,353453249
80,0	0,353438407
90,0	0,353443176
100,0	0,353472143
200,0	0,353462219
300,0	0,353476018
400,0	0,353476316
500,0	0,353469133
600,0	0,35345763
700,0	0,353440166
800,0	0,353430569
900,0	0,353468835
1000,0	0,353446037
2000,0	0,353376597
3000,0	0,353310734
4000,0	0,353288412
5000,0	0,353228509
6000,0	0,353200257
7000,0	0,353167772
8000,0	0,353146672
9000,0	0,353096992
10000,0	0,353083104
