f [Hz];U [dBuV]
0,009;89,882057
0,01;90,851004
0,02;88,559786
0,03;88,234331
0,04;88,183861
0,05;88,147854
0,06;88,689255
0,07;88,265118
0,08;88,270695
0,09;88,132879
0,1;88,914236
0,11;88,750402
0,12;88,805073
0,13;88,678310
0,14;88,579836
0,15;88,069609
0,2;88,688332
0,3;88,547218
0,4;88,336002
0,5;88,242781
0,6;88,206739
0,7;88,185917
0,8;88,194872
0,9;88,203489
1,0;88,215895
2,0;88,107775
3,0;87,902767
4,0;87,715687
5,0;87,545702
6,0;87,581030
7,0;87,593550
8,0;87,581972
9,0;87,746759
10,0;88,067751
11,0;88,398708
12,0;88,723915
13,0;89,067511
14,0;89,346085
15,0;89,425081
16,0;89,349447
17,0;89,069252
18,0;88,599007
19,0;88,105669
20,0;87,598690
21,0;87,158852
22,0;86,798590
23,0;86,574411
24,0;86,426405
25,0;86,398619
26,0;86,543615
27,0;86,793715
28,0;87,077892
29,0;87,442268
30,0;87,718418
