f [Hz]	U [V]
1e-05	121,03179928974563
2e-05	121,03154460942265
3e-05	121,03146428125467
4e-05	121,02860530814986
5e-05	121,0288586234341
6e-05	121,02587239414657
7e-05	121,02596220477244
8e-05	121,02325859423797
9e-05	121,02160883585547
0,0001	121,01847606203746
0,0002	121,01332919336272
0,0003	121,00615085218293
0,0004	120,9977874657011
0,0005	120,98391977612947
0,0006	120,96926505207657
0,0007	120,95397790668167
0,0008	120,93234552993316
0,0009	120,91003568646391
0,001	120,88446921953755
0,002	120,83545964243483
0,003	120,76033545695809
0,004	120,65523233609967
0,005	120,5228378385386
0,006	120,35186652267595
0,007	120,14355545138187
0,008	119,89129971183915
0,009	119,5911517186758
0,01	119,22950476943002
0,02	118,45507592561626
0,03	117,02549610836599
0,04	114,4377277831953
0,05	109,08828668530239
0,06	86,74187044001427
0,07	111,54447282057805
0,08	117,54592144659892
0,09	120,82889046057568
0,1	122,57804642433614
0,2	122,34652011250853
0,3	103,51315632746343
0,4	122,74092617277563
0,5	81,71494019159978
0,6	121,34139385189356
0,7	123,01086122069395
0,8	122,78291934321368
0,9	122,96916501312703
1,0	119,25243559777806
2,0	119,53998701191637
3,0	118,39356190420916
4,0	119,82761956842867
5,0	119,48188481070217
6,0	119,52485060296652
7,0	120,161371289037
8,0	119,86172053166071
9,0	119,97153571316721
10,0	119,96012182804718
20,0	120,01431726597443
30,0	119,99893521792801
40,0	119,99929841024903
50,0	119,99881073101466
60,0	119,99904358507925
70,0	119,99887516761956
80,0	119,99970185483787
90,0	119,99867233505094
100,0	119,9986005746778
200,0	119,99881366722116
300,0	119,99832376156189
400,0	119,99874189573018
500,0	119,99916002205558
600,0	119,99963230184603
700,0	119,99913658245212
800,0	119,99906994876851
900,0	119,99831423984955
1000,0	119,99836111114568
2000,0	119,99669349231694
3000,0	119,99594783828316
4000,0	119,99455376039471
5000,0	119,99276963916527
6000,0	119,99055783895132
7000,0	119,985680069094
8000,0	119,98014353579816
9000,0	119,97936049360818
10000,0	119,97987274548876
