f [Hz];U [dBuV]
0,009;97,359076
0,01;97,140024
0,02;96,142217
0,03;95,926592
0,04;95,907514
0,05;95,903930
0,06;96,192778
0,07;95,978008
0,08;95,930851
0,09;95,930115
0,1;96,252333
0,11;96,186840
0,12;96,236711
0,13;96,172173
0,14;96,137688
0,15;95,574500
0,2;96,285340
0,3;96,078744
0,4;96,111126
0,5;96,036283
0,6;95,990773
0,7;95,983734
0,8;95,990233
0,9;96,008867
1,0;96,016163
2,0;95,909019
3,0;95,703818
4,0;95,518064
5,0;95,345930
6,0;95,381520
7,0;95,392097
8,0;95,379707
9,0;95,542440
10,0;95,860170
11,0;96,189144
12,0;96,511559
13,0;96,851149
14,0;97,127561
15,0;97,192549
16,0;97,126585
17,0;96,843069
18,0;96,368180
19,0;95,870617
20,0;95,359681
21,0;94,914669
22,0;94,549386
23,0;94,318953
24,0;94,163925
25,0;94,126195
26,0;94,259597
27,0;94,497725
28,0;94,775088
29,0;95,156267
30,0;95,455684
