f [Hz];U [dBuV]
0,009;70,569389
0,01;71,383896
0,02;76,068851
0,03;77,937153
0,04;78,670900
0,05;78,856422
0,06;78,750919
0,07;78,481541
0,08;78,115732
0,09;77,691336
0,1;77,243004
0,11;76,797878
0,12;76,349762
0,13;75,891317
0,14;75,428083
0,15;74,332943
0,2;72,984653
0,3;69,717964
0,4;67,327206
0,5;65,167107
0,6;63,239769
0,7;61,464088
0,8;59,779953
0,9;58,120655
1,0;56,414696
2,0;48,810154
3,0;66,003826
4,0;55,652985
5,0;47,727943
6,0;55,638145
7,0;59,379814
8,0;61,980457
9,0;59,324448
10,0;62,560883
11,0;64,981941
12,0;66,812321
13,0;68,255478
14,0;69,283310
15,0;69,845917
16,0;70,119835
17,0;67,783558
18,0;68,142448
19,0;68,521599
20,0;68,786015
21,0;68,906368
22,0;69,732636
23,0;70,624889
24,0;71,684364
25,0;72,926640
26,0;74,068340
27,0;73,881981
28,0;71,289310
29,0;68,538967
30,0;69,200642
